ticker,filed,form,fp,fy,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
AC.PA,2026-04-30,AR,FY,2025,5639000000.0,449000000.0,1.61,810000000.0,0.0796,0.1436,1.05,0.39,0.1048
AI.PA,2023-04-30,AR,FY,2022,29934000000.0,2758800000.0,4.790909,5810100000.0,0.0922,0.1941,0.93,0.17,0.1162
AI.PA,2024-04-29,AR,FY,2023,27607600000.0,3078000000.0,5.33,6263000000.0,0.1115,0.2269,0.87,0.19,0.1266
AI.PA,2025-04-30,AR,FY,2024,27057800000.0,3306100000.0,5.72,6322200000.0,0.1222,0.2337,0.88,0.23,0.1231
AI.PA,2026-04-30,AR,FY,2025,26940200000.0,3517900000.0,6.08,6518400000.0,0.1306,0.242,1.17,0.36,0.1342
AIR.PA,2023-04-30,AR,FY,2022,58763000000.0,4247000000.0,5.39,6288000000.0,0.0723,0.107,1.2,1.73,0.328
AIR.PA,2024-04-29,AR,FY,2023,65446000000.0,3789000000.0,4.8,6255000000.0,0.0579,0.0956,1.19,1.87,0.2141
AIR.PA,2025-04-30,AR,FY,2024,69230000000.0,4232000000.0,5.35,7402000000.0,0.0611,0.1069,1.15,1.73,0.2159
AIR.PA,2026-04-30,AR,FY,2025,73420000000.0,5221000000.0,6.6,7995000000.0,0.0711,0.1089,1.16,2.02,0.2
MT.AS,2023-04-30,AR,FY,2022,79844000000.0,9302000000.0,10.18,10203000000.0,0.1165,0.1278,1.66,1.13,0.175
MT.AS,2024-04-29,AR,FY,2023,68275000000.0,919000000.0,1.09,7645000000.0,0.0135,0.112,1.53,1.03,0.017
MT.AS,2025-04-30,AR,FY,2024,62441000000.0,1339000000.0,1.69,4852000000.0,0.0214,0.0777,1.35,0.8,0.0272
MT.AS,2026-04-30,AR,FY,2025,61352000000.0,3152000000.0,4.11,4808000000.0,0.0514,0.0784,1.36,0.56,0.0579
CS.PA,2023-04-30,AR,FY,2022,81461000000.0,5061000000.0,2.12,8705000000.0,0.0621,0.1069,,0.42,0.1098
CS.PA,2024-04-29,AR,FY,2023,97671000000.0,7189000000.0,3.31,3936000000.0,0.0736,0.0403,,0.42,0.145
CS.PA,2025-04-30,AR,FY,2024,103262000000.0,7886000000.0,3.625134,12467000000.0,0.0764,0.1207,,0.3,0.1579
CS.PA,2026-04-30,AR,FY,2025,105925000000.0,9797000000.0,4.766533,22352000000.0,0.0925,0.211,,0.37,0.2077
BNP.PA,2023-04-30,AR,FY,2022,57477000000.0,9848000000.0,7.52,-52837000000.0,0.1713,-0.9193,,,0.0812
BNP.PA,2024-04-29,AR,FY,2023,59735000000.0,10975000000.0,8.58,-34241000000.0,0.1837,-0.5732,,,0.0887
BNP.PA,2025-04-30,AR,FY,2024,65870000000.0,11688000000.0,9.57,-97376000000.0,0.1774,-1.4783,,,0.0912
BNP.PA,2026-04-30,AR,FY,2025,68804000000.0,12225000000.0,10.29,46571000000.0,0.1777,0.6769,,,0.0974
EN.PA,2023-04-30,AR,FY,2022,44398000000.0,973000000.0,2.55,2978000000.0,0.0219,0.0671,0.99,0.5,0.0797
EN.PA,2024-04-29,AR,FY,2023,56017000000.0,1040000000.0,2.77,5344000000.0,0.0186,0.0954,0.95,0.52,0.0838
EN.PA,2025-04-30,AR,FY,2024,56752000000.0,1058000000.0,2.8,5378000000.0,0.0186,0.0948,0.92,0.53,0.0833
EN.PA,2026-04-30,AR,FY,2025,56877000000.0,1138000000.0,2.99,5472000000.0,0.02,0.0962,0.93,0.78,0.0873
CAP.PA,2023-04-30,AR,FY,2022,21995000000.0,1547000000.0,8.79,2517000000.0,0.0703,0.1144,1.28,0.67,0.159
CAP.PA,2024-04-29,AR,FY,2023,22522000000.0,1663000000.0,9.37,2525000000.0,0.0738,0.1121,1.34,0.7,0.1591
CAP.PA,2025-04-30,AR,FY,2024,22096000000.0,1671000000.0,9.47,2526000000.0,0.0756,0.1143,1.21,0.65,0.1419
CAP.PA,2026-04-30,AR,FY,2025,22465000000.0,1601000000.0,9.13,2482000000.0,0.0713,0.1105,1.21,0.38,0.1374
CA.PA,2023-04-30,AR,FY,2022,83088000000.0,1348000000.0,1.8,4219000000.0,0.0162,0.0508,0.89,0.75,0.121
CA.PA,2024-04-29,AR,FY,2023,84910000000.0,1659000000.0,2.31,4650000000.0,0.0195,0.0548,0.93,0.87,0.1438
CA.PA,2025-04-30,AR,FY,2024,83453000000.0,723000000.0,1.07,4200000000.0,0.0087,0.0503,0.88,0.86,0.0668
CA.PA,2026-04-30,AR,FY,2025,84024000000.0,319000000.0,0.47,3948000000.0,0.0038,0.047,0.87,0.88,0.0291
ACA.PA,2023-04-30,AR,FY,2022,20646000000.0,5306000000.0,1.637,1463000000.0,0.257,0.0709,,,0.0798
ACA.PA,2024-04-29,AR,FY,2023,23454000000.0,6348000000.0,1.943,-36512000000.0,0.2707,-1.5567,,,0.0893
ACA.PA,2025-04-30,AR,FY,2024,25328000000.0,7087000000.0,2.109,-15909000000.0,0.2798,-0.6281,,,0.0949
ACA.PA,2026-04-30,AR,FY,2025,26261000000.0,7074000000.0,2.891972,19012000000.0,0.2694,0.724,,,0.0911
BN.PA,2023-04-30,AR,FY,2022,27661000000.0,959000000.0,1.48,2964000000.0,0.0347,0.1072,1.0,0.1,0.0535
BN.PA,2024-04-29,AR,FY,2023,27619000000.0,881000000.0,1.36,3442000000.0,0.0319,0.1246,0.92,0.24,0.0545
